playlist_idx,cluster,relevance,diversity,serendipity
996,1,0.5856324619544204,0.34406427263686556,0.11184238409291708
1000,3,0.36480910329076555,0.289448849306847,0.09161384917334296
1008,3,0.501396069862542,0.48522622529913895,0.27266860118929653
1015,1,0.6912564917979442,0.31563330221714736,0.12960968017672553
1036,2,0.6218479826115848,0.3258044633431818,0.14431440809838023
1040,1,0.6561108328859546,0.3371968640450367,0.13807799972540682
1051,1,0.6254564850280911,0.3339511945693018,0.12435072023932685
1077,3,0.5654986207740594,0.41891649690072386,0.21505017212264588
1083,2,0.6487288837474489,0.33840928315980023,0.131545022419778
1084,0,0.6711025648865184,0.33972765998959864,0.1326128572080473
1104,3,0.3738679898963419,0.6126248481336323,0.18543716303045726
1110,0,0.7938771422360992,0.2396345432488617,0.10269489802971253
1128,2,0.7034936030638249,0.30540906548285596,0.20176263750186202
1178,3,0.3496422090309543,0.5630190188446074,0.19787605820724094
1194,3,0.5231327031753307,0.47985966710550976,0.15836074026718047
1203,3,0.4697187970427603,0.4732308923043842,0.3008447421840276
1204,1,0.6711595634182247,0.3160623876692841,0.15644772969246085
1207,3,0.526401929540138,0.4210396022954095,0.15196985828331905
1212,0,0.626543606864544,0.3459360481135486,0.13191015644318338
1214,1,0.7730576394484816,0.19981739684954158,0.14023459760346332
1218,0,0.622468277003931,0.2600504297469406,0.0937575735440618
1232,0,0.7185516201232964,0.27540374141083845,0.11871565745223966
1240,1,0.6298748419668243,0.29848255626802944,0.20150030921993486
1241,2,0.6194939112172947,0.33102421802246584,0.12931965615845456
1261,0,0.6048795334641782,0.3187011544743449,0.21069842111791195
1266,3,0.6585291784693458,0.30266048058636663,0.15094786256364998
1271,0,0.4697993406384272,0.47456370131292236,0.30314208329163284
1284,3,0.42832266740724045,0.567951431550419,0.1895039839020285
1295,0,0.6871720437755933,0.2776057305183497,0.10323618723882137
1299,2,0.6500013378551182,0.3333401978491404,0.14511200852544492
1302,3,0.5382977486951442,0.457793921729412,0.1705612552612524
1306,0,0.760906888568953,0.23359430662991854,0.2125821452036151
1315,1,0.6730472132079328,0.32355897700594394,0.32175564042942423
1320,1,0.657297100817732,0.339931288964073,0.13878271576951998
1355,3,0.5982157913046147,0.4007990069586247,0.31233484450376836
1360,3,0.4680789472956707,0.5417614881926097,0.29159656103003767
1373,3,0.6699170806248343,0.2893628102483341,0.11194026623078386
1377,3,0.6822753354809599,0.2599270886151903,0.17967822852395127
1381,3,0.5383088215632458,0.4367653834056986,0.17392045155968236
1394,3,0.6722578575293597,0.371660932225197,0.19290765481055847
1399,0,0.651324018550014,0.33888786641197843,0.15723015023074355
1401,1,0.6207976292716021,0.4423977674385854,0.23163114256367626
1407,2,0.6598421083550756,0.32424145895306866,0.154758323876357
1413,2,0.7070888379920881,0.31098332898001846,0.12912296772451073
1416,0,0.6934562774104254,0.3098104387731704,0.12182573344352192
1425,1,0.5879230028364917,0.33490921063879997,0.15120844682440274
1428,3,0.48728752244534984,0.4398853533509799,0.1675323064557292
1430,2,0.6615535725749521,0.30732663574613184,0.13206079987426425
1453,1,0.677769308422391,0.31441141738989486,0.19552486107555725
1459,2,0.6695141145187283,0.31774043000933583,0.17760643259025158
1483,0,0.7713664832508427,0.21427323408490473,0.24893434580041424
1485,2,0.6282466044965922,0.35402673397473705,0.1383505780763318
1494,1,0.7239159103001302,0.2882006280811379,0.11714445947219371
1540,2,0.6383596550763095,0.34954709933126427,0.13400762088740567
1541,3,0.34348973187585874,0.5320924276323233,0.19794272665558152
1543,0,0.6809768687310671,0.3267028566779103,0.14483690306456284
1550,0,0.48182552439744986,0.42537326613950943,0.19801678840374975
1557,1,0.6140765760811655,0.33365216239418993,0.11675514399771089
1596,3,0.5407786292880377,0.30688082406105577,0.13975048480125643
1604,1,0.45156670564144086,0.5289894432485918,0.288917133574092
1605,3,0.40710335128299785,0.505881827967742,0.22431325447029124
1609,2,0.6517275660296207,0.36370439052863346,0.1392516902126555
1611,2,0.6775270286049487,0.33281457324265895,0.16683805814755653
1625,3,0.5990617252258141,0.44856984340250905,0.17519967963678798
1626,3,0.48976138268272895,0.3420137086766466,0.13649627695686442
1634,2,0.6115932199539372,0.33347416930499096,0.13059374377121458
1635,3,0.3595612656259068,0.44863557292424094,0.2235831536099389
1663,0,0.7129969975905445,0.30264150305890636,0.14917884354224908
1664,2,0.6787861403592551,0.2979474292100047,0.12171504383258674
1665,2,0.6039363285191075,0.4389904116402843,0.18151368950634247
1673,1,0.7278253702278064,0.2957466923162717,0.17733636779142517
1686,1,0.669099899023161,0.3584753583257201,0.2396397507465349
1702,2,0.6329513447583297,0.2833171746797024,0.13254564821254516
1715,3,0.5737010806076489,0.3526709178869334,0.11424454480450066
1717,3,0.39989377255896713,0.480380185722022,0.2227082833907561
1719,3,0.5778602524994269,0.49387165096142716,0.18767821016713604
1736,1,0.5039578205905496,0.46671449826255007,0.21287472904400695
1763,3,0.36173016935152263,0.5478269217946086,0.19926697038670516
1780,1,0.5242145368785928,0.3352311289481015,0.11147463799500344
1782,2,0.6984562625523104,0.3185045079721509,0.14626962468381643
1786,3,0.506672565815881,0.449866630651963,0.1391868658463385
1790,1,0.5846597227923286,0.31050656744239724,0.15010465782478827
1812,2,0.5227196256759383,0.43398028115806986,0.1417219131768812
1831,2,0.6323983839815267,0.32684754149713724,0.1392483147396298
1832,1,0.5879371380912666,0.32852640714169945,0.12249313301008967
1834,1,0.6468269054670241,0.32993237197033387,0.12114000886072405
1845,1,0.6623466583192356,0.28132645747552243,0.22626632449798612
1877,1,0.5475804338343517,0.4772119062702276,0.17555891953329933
1891,1,0.5887922088249622,0.39971574245247843,0.2809919712348609
1893,2,0.6931771006222904,0.32528831567648053,0.13089909693988858
1901,0,0.5112085471024423,0.4724496654904402,0.19074119380908156
1950,3,0.5468007405930677,0.33975180427938934,0.1259360163145606
1974,2,0.7363764799787509,0.24530223390015693,0.12215759217169528
1981,3,0.41325446880282074,0.5147065585755521,0.23727818577632676
2001,2,0.6692801540137239,0.3410644609631224,0.14479585475566326
2003,1,0.6700797178285578,0.3068057359882759,0.11993627952357509
2010,1,0.6816144118201437,0.2910735132578257,0.20396233664212154
2011,0,0.758691576242777,0.24422948365056663,0.20035345417183162
2018,3,0.5048863848002438,0.35024596688198606,0.1430990121847394
2019,2,0.6383093766443819,0.32360111853268836,0.3472582925234561
2026,3,0.4217120677539707,0.4650290281208761,0.23977155991698343
2030,1,0.5607631722039127,0.44356762644931724,0.17986198976191076
2050,2,0.5839063279996745,0.28789843441965823,0.0968825707311129
2060,1,0.631966104033615,0.3295405243773044,0.19243731980485856
2105,2,0.7008864758144492,0.326864825684244,0.3224883576349064
2114,1,0.6047738809266116,0.3316425087377489,0.12032021198377231
2117,3,0.42769401865540624,0.43866740341814137,0.20664488319588514
2121,2,0.698960453743418,0.3641213816555866,0.1460780321234691
2122,2,0.6446605715493272,0.34761902697164304,0.1376748424984363
2130,2,0.6575687662617052,0.33936969372418946,0.13074857783358462
2153,1,0.6051486468716603,0.22435221029055075,0.09796734503594945
2159,1,0.6466902488031078,0.3213340289553088,0.11628207852714177
2178,2,0.6676907724916028,0.3117327356929622,0.13563379267987663
2179,1,0.6677820878966982,0.3261907212695969,0.12946578314508767
2180,1,0.653550691609227,0.3297753437236174,0.12482291334787503
2203,0,0.7479101586952595,0.2945029405190497,0.1326459970696804
2231,0,0.5396525020083307,0.3349527164832502,0.17148431965206454
2233,2,0.5575501621992975,0.32996798515970593,0.11985050848318406
2248,0,0.7153637122643616,0.17413128293840818,0.13348420402012157
2253,2,0.6634633575909243,0.3368272118899357,0.12491561999795871
2254,2,0.6654818367018605,0.33170125784301563,0.14048873485741317
2259,3,0.5016283519372826,0.4103875329422261,0.1174344110134163
2260,2,0.7136911845523083,0.30562532715263524,0.13605536577050875
2264,3,0.3595659355066697,0.6360868809733692,0.18750576348999484
2308,2,0.6034736049920241,0.3089402174730631,0.10231922860151378
2316,1,0.6677683169136736,0.27426231608223806,0.11095344718128874
2318,0,0.7120480601746425,0.3353605942485074,0.17033137605470258
2324,2,0.6963034718959169,0.3269344636832653,0.1398269088092509
2335,1,0.6467709174778997,0.3415404191279373,0.13969685208989266
2336,3,0.5466758497467793,0.37347940710122385,0.12049059701215588
2354,1,0.6554001224055973,0.3425408575229517,0.17863773573879266
2356,1,0.6826239911214368,0.33140602040928313,0.21954207567183312
2368,3,0.5058675869263723,0.4625930001410318,0.2737118259394125
2405,0,0.7194316792177754,0.30467091791118195,0.2552686506860584
2421,1,0.6384723382095779,0.32534107148627434,0.1226672981070852
2452,0,0.6204015916067874,0.29110429663252746,0.12495805015462809
2463,2,0.679571563932275,0.3232531673795471,0.1374500396524254
2474,1,0.5578101771261879,0.34801927818376943,0.12192121342878252
2476,3,0.4887179795995537,0.4205724643813512,0.2938660254654817
2493,1,0.6440000910773909,0.2985723810137164,0.11784650522319783
2505,1,0.6978771004467852,0.30499878981598316,0.12205247512351966
2508,2,0.6616952401529225,0.3145355688872926,0.19038543108732348
2533,1,0.6617123323115373,0.4053570919010401,0.15551337073037058
2549,3,0.4703996532685724,0.3714587928179971,0.11532646608712864
2569,3,0.4861253870884499,0.3911702597141292,0.12909656352854873
